title,genre,rating,status,episodes,release year,description
Mahouka Koukou no Rettousei 3rd Season,"['Hành động', 'Tình cảm', 'Giả tưởng', 'Học đường', 'Viễn tưởng']","['8.3', '176']",Hoàn thành,13,2024,Phần 3 của bộ phim Mahouka Koukou no Rettousei
Hananoi-kun to Koi no Yamai,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường']","['8.1', '72']",Hoàn thành,12,2024,"Hotaru Hinase là một học sinh trung học năm nhất luôn trân trọng gia đình và bạn bè của mình hơn tất cả. Không thể hiểu được sự lãng mạn, cô quyết định sẽ hài lòng khi sống mà không cần trải qua tình yêu. Trong khi Hotaru đang dành thời gian ở quán cà phê với người bạn thân của mình, cô chứng kiến ​​cuộc chia tay không thương tiếc của một sinh viên danh dự đẹp trai, Hananoi. Bắt gặp anh đang ngồi một mình trên tuyết trên đường về nhà, cô đưa chiếc ô của mình cho anh như một cử chỉ ân cần. Ngay ngày hôm sau, Hananoi xuất hiện trong lớp học của Hotaru và ngỏ lời mời cô làm bạn gái của anh. Dù bị từ chối nhưng Hananoi vẫn bám sát Hotaru, thực hiện những hành động vị tha với hy vọng làm hài lòng cô. Hotaru bắt đầu có những cảm xúc mà cô chưa từng có trước đây. Tin rằng những cảm xúc này có thể nảy nở thành tình yêu, Hotaru đồng ý hẹn hò với Hananoi."
Date A Live V,"['Anime', 'Hành động', 'Tình cảm', 'Harem', 'Giả tưởng', 'Học đường', 'Viễn tưởng']","['9.3', '188']",Hoàn thành,12,2024,Mùa thứ 5 của Date A Live.
Unnamed Memory,"['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Phiêu lưu']","['8.3', '151']",Hoàn thành,12,2024,"Oscar là vương tử của dòng tộc bị nguyền rủa sẽ không sinh được con cái nối dối bởi Phù Thùy Tĩnh Lặng. Để hóa giải lời nguyền, anh đã quyết định đi tìm Phù Thủy Trăng Xanh. Nhưng câu trả lời của anh lại là phải tìm ra người phụ nữ chịu được lời nguyền để sinh con. Vị vương tử quyết định thay vì đi tìm đâu xa, anh sẽ cưới phù thủy về làm vợ."
Jiisan Baasan Wakagaeru,"['Anime', 'Hài hước', 'Tình cảm', 'Đời thường', 'Siêu nhiên']","['9.2', '206']",Hoàn thành,11,2024,"Shouzou và Ine là hai ông bà lão đã dành cả cuộc đời làm lụng vất vả mà chưa kịp tận hưởng tuổi xuân. Thế nhưng một kỳ tích lại xảy ra khiến cả hai đều được trẻ lại một lần nữa. Với quãng thời gian dài hơn và cơ thể khỏe mạnh, đôi vợ chồng già này sẽ như thế nào?"
"One Room, Hiatari Futsuu, Tenshi-tsuki","['Anime', 'Tình cảm', 'Harem', 'Siêu năng lực']","['8.6', '117']",Đang tiến hành,11,2024,N/A
Suki demo Kirai na Amanojaku My Oni Girl,"['Anime', 'Tình cảm', 'Siêu nhiên']","['9.3', '34']",Hoàn thành,1,2024,N/A
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,"['Anime', 'Tình cảm', 'Học đường', 'Drama', 'Siêu nhiên']","['9.7', '34']",Hoàn thành,1,2023,N/A
Kekkon Yubiwa Monogatari,"['Anime', 'Hành động', 'Tình cảm', 'Harem', 'Siêu nhiên', 'Dị giới', 'Ecchi']","['7.1', '154']",Hoàn thành,12,2024,"Satou đã yêu người bạn thời thơ ấu và người hàng xóm của mình, Hime, kể từ khi cô và ông của cô đột nhiên xuất hiện cách đây 10 năm. Giờ đây đã là một mỹ nhân trung học rực rỡ nhưng bí ẩn, cô khiến anh ngày càng khó thổ lộ tình cảm của mình. Khi ngày kỷ niệm ngày gặp gỡ đầu tiên của họ đang đến gần, liệu anh có thu hết can đảm để biến tình bạn của họ thành một điều gì đó hơn thế nữa không? Hay một số phận hoàn toàn khác sẽ chờ đợi cặp đôi gắn bó chặt chẽ này?"
Nozomanu Fushi no Boukensha,"['Anime', 'Hành động', 'Tình cảm', 'Harem', 'Siêu năng lực', 'Phiêu lưu']","['9.3', '383']",Hoàn thành,12,2024,Câu truyện xoay quanh một mạo hiểm giả Rank đồng. cậu ta đã không may đụng phải một quái vật siêu mạnh bên trong đại ngục. sau khi bị ăn cậu phát hiện ra mình đã trở thành một con Skeleton (khô lâu). vì thế cậu không thể trở về thị trấn. nên cậu đã quyết định tiêu diệt quái vật bên trong đại ngục để tiến hóa
Mato Seihei no Slave,"['Anime', 'Hành động', 'Hài hước', 'Harem', 'Shounen', 'Siêu nhiên', 'Ecchi']","['8.7', '260']",Hoàn thành,12,2024,"Bỗng nhiên những cánh cổng bí ẩn đã xuất hiện trên khắp Nhật Bản. Bên kia cánh cổng là dị thứ nguyên được gọi là Ma Đô, nơi có những trái đào ban cho các thiếu nữ năng lực đặc biệt nếu ăn chúng. Để tiêu diệt Xú Quỷ đến từ nơi này, một lực lượng chiến đấu toàn các nữ chiến binh đã được thành lập với tên gọi Đội Phòng Ma. Một ngày nọ, chàng thiếu niên tên Wakura Yuuki đã lạc vào Ma Đô trong lúc đang đi tìm đường mưu sinh và bị Xú Quỷ tấn công. Uzen Kyouka, đội trưởng xinh đẹp của Phân đội 7 thuộc Đội Phòng Ma đã lập tức tới ứng cứu. Kyouka có năng lực biến Yuuki thành nô lệ và khiến cậu có thể đánh bại Xú Quỷ. Từ đó, Yuuki đã trở thành nô lệ kiêm tạp vụ của Đội Phòng Ma. Câu chuyện giả tưởng về ""chàng thiếu niên bị xiềng xích"" sẽ bắt đầu!"
Kanojo mo Kanojo Season 2,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Đời thường']","['7.0', '111']",Hoàn thành,12,2023,Second season of Kanojo mo Kanojo.
Kimi No Koto Ga Dai Dai Dai Dai Daisuki Na 100-ri No Kanojo,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường']","['7.9', '269']",Hoàn thành,12,2023,"Rentaro Aijo đã trải qua 100 lần thất tình hồi còn học sơ trung. Khi vừa lên cao trung, cậu đã đến một đền thờ và ước rằng ""tôi muốn có người yêu"". Thần tình yêu xuất hiện và phán rằng ""tại cao trung, con sẽ gặp được 100 người định mệnh của mình"". Tuy nhiên, theo vị thần, những người gặp một nửa định mệnh của mình phải yêu nhau và cảm thấy hạnh phúc, bằng không họ sẽ chết. Gặp gỡ liên tiếp những con người định mệnh của mình, Rentaro sẽ làm thế nào đây? Điều gì sẽ đến với 100 cô bạn gái của cậu?"
Seiken Gakuin no Maken Tsukai,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường']","['7.6', '225']",Hoàn thành,12,2023,"Những trận chiến ở các vương quốc cổ đại chẳng là gì so với những trận chiến trong lớp học! Thức tỉnh sau tình trạng ngưng trệ ma thuật sau một nghìn năm, Chúa tể bóng tối Leonis đột nhiên thấy mình trong cơ thể của một cậu bé mười tuổi! Anh nhanh chóng gặp Riselia, một cô gái đang đối đầu với Void, những sinh vật gần như đã tiêu diệt loài người. Quyết tâm khám phá những bí ẩn của kỷ nguyên mới kỳ lạ này, Leonis đăng ký vào Học viện Excalibur, một ngôi trường đào tạo học sinh chiến đấu chống lại những con quái vật bí ẩn này. Liệu các Void có thể có mối liên hệ nào đó với quá khứ của Leonis?"
Temple,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Ecchi']","['8.8', '175']",Hoàn thành,13,2023,N/A
Eiyuu Kyoushitsu,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Siêu nhiên', 'Ecchi']","['7.9', '183']",Hoàn thành,12,2023,"Cách đây rất lâu, tồn tại một Chúa Quỷ đã khủng bố khắp thế giới cho đến khi một Anh hùng bước lên sân khấu và thách thức Chúa Quỷ, cuối cùng đánh bại hắn và kết thúc triều đại của hắn. Sau đó, Anh hùng đã thành lập Học viện Rosewood, một học viện được thành lập để giúp các anh hùng đang được đào tạo đạt được uy quyền tối cao và giúp bảo vệ thế giới khi cần thiết, chỉ tuyển sinh những người giỏi nhất trong số những người giỏi nhất. Tham gia Arnest Flaming, một cô gái có tinh thần trách nhiệm cao và là học sinh đứng đầu học viện, do đó nhận được bí danh Empress of Flames, một ngày nọ, cô gặp Blade, một học sinh mới chuyển đến sôi nổi, vô tư, một cậu bé có vẻ giống cô. quyền lực, một thứ mà cô ấy thấy thực sự khó chịu. Arnest sau đó được đích thân Nhà vua yêu cầu giám sát và đưa Blade đi tham quan học viện trong thời gian anh ấy ở lại. Câu chuyện kể về cuộc đấu tranh của các học sinh trong hành trình trở thành anh hùng. (Nguồn: Eiyuu Kyoushitsu Wiki, đã chỉnh sửa)"
Masamune-kun no Revenge 2nd Season,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Shounen']","['9.2', '269']",Hoàn thành,12,2023,Mùa thứ 2 của series anime Masamune-kun no Revenge
Gotoubun no Hanayome ∬,"['Anime', 'Tình cảm', 'Hài hước', 'Harem', 'Shounen']","['9.6', '1419']",Hoàn thành,14,2021,Phần 2 của bộ phim Gotoubun no Hanayome
Megami no Café Terrace,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Shounen', 'Ecchi']","['8.7', '234']",Hoàn thành,12,2023,"Bộ phim nói về quán cà phê của Hayato. Hayato sắp bán được quán cà phê khi bà của anh ấy truyền lại. Anh ta ít biết rằng quán cà phê là nơi ở của năm phụ nữ trẻ. Những người phụ nữ này cũng yêu thương coi nhau như một gia đình. Họ thuyết phục Hayato tiếp tục hoạt động quán cà phê, nhưng Hayato sẽ làm thế nào để có thể điều hành quán cà phê này? Liệu anh ta có thể làm việc với năm người phụ nữ phóng túng này không?"
Rokudou no Onna-tachi,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Shounen']","['6.7', '88']",Hoàn thành,12,2023,"Ai cũng biết Rokudou là kẻ thất bại. Cậu luôn bị bắt nạt ở trường, bị nhìn đểu ngoài đường, và chỉ dám lén lút phàn nàn về những chuyện đó cùng những người bạn cùng hoàn cảnh với mình trong toilet ở trường. Trong tuyệt vọng, cậu đã sử dụng cuộn sách phép diệt quỷ được truyền lại nhiều đời trong gia đình với hi vọng có thể xoay chuyển hoàn cảnh của mình. Nhưng ở thời hiện đại nay, cuộn sách lại có tác dụng khác - đó là làm cho tất cả những cô gái hư thích mình."
Isekai Shoukan wa Nidome desu,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Giả tưởng']","['7.5', '221']",Hoàn thành,12,2023,"Sau khi được triệu tập đến một thế giới khác—Eclair, người được biết đến như một người đàn ông dũng cảm đã dập tắt các cuộc chiến giữa con người, thú nhân và ác quỷ và mang lại hòa bình cho thế giới, đã được tái sinh vào thế giới ban đầu sau chiến tranh."
Yuusha ga Shinda!,"['Anime', 'Hành động', 'Hài hước', 'Harem', 'Giả tưởng', 'Ecchi']","['7.8', '177']",Hoàn thành,12,2023,"Ba năm trước, dũng sĩ Sion Brad đã sử dụng sức mạnh của thánh kiếm để phong ấn cánh cổng địa ngục, cuộc chiến giữa con người và ác quỷ đi đến hồi kết. Nhưng do phong ấn chưa hoàn thiện nên sau một thời gian, cánh cổng địa ngục lại mở ra, yêu ma từ khắp nơi trên thế giới tiếp tục nổi lên tấn công con người cho đến tận bây giờ."
Isekai wa Smartphone to Tomo ni. 2,"['Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Giả tưởng']","['8.1', '381']",Hoàn thành,12,2023,"Sau một tai nạn trời đánh vật nhân vật chính của chúng ta đến chết, Mochizuki Touya 15 tuổi tỉnh lại và hiện ra trước mặt cậu là God. Vị thần tối cao đã thốt lên một câu: ""Ta e rằng ta đã phạm phải một sai lầm ngớ ngẩn..."" Nhưng chết chưa phải là hết! Để bù đắp lại lỗi lầm của mình, God nói rằng Ngài có thể hồi sinh Touya tại một thế giới giả tưởng. Thêm vào đó, Touya có thể mang theo chiếc smartphone của mình. Thế là cuộc phiêu lưu mới đến thế giới phép thuật kì lạ, xa xôi đã bắt đầu. Bạn bè! Tiếng cười! Nước mắt! Touya bắt đầu chuyến đi mà không biết mình đi đâu, đụng độ nhiều vấn đề chung quanh cậu. Một thế giới bi hùng về kiếm, pháp thuật và điện thoại di động đã được mở màn!"
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Giả tưởng']","['8.5', '384']",Hoàn thành,12,2023,"Kazuya Shiina, người đã bị giết vì bảo vệ sự an toàn của các cô gái, được tái sinh trong thế giới của kiếm và ma thuật mà anh ấy đã thấy trong giấc mơ của mình với tư cách là con trai thứ ba của một nhà quý tộc—Kain von Silverdot. Theo thói quen của thế giới này, Cain đã được rửa tội khi mới 5 tuổi và nhận được sự ban phước của các vị thần... Tuy nhiên, vì nhận được quá nhiều sự ban phước từ các vị thần, anh ấy đã vượt qua người thường và trở thành ""Tông đồ của Chúa"" ? !"
Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei (Ss2),"['Anime', 'Hành động', 'Tình cảm', 'Harem']","['6.8', '214']",Hoàn thành,12,2023,Second season of Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei.
Isekai Nonbiri Nouka,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Siêu nhiên']","['9.2', '632']",Hoàn thành,12,2023,"Isekai Nonbiri Nouka (異世界のんびり農家) là một light novel Nhật Bản do Kei Azumi viết và Sango Harukawa minh họa. Nó được xuất bản bởi Earth Star Entertainment và đã được chuyển thể thành manga và anime. Bộ light novel này kể về một người đàn ông trung niên có tên là Yōtarō, người bị đuổi việc và không có nhiều tiền. Một ngày, anh được đưa đến một thế giới khác, và được biết đến như một người đến từ đất nước của sự tăng trưởng. Tại đây, anh được mời sống tại một nông trại và được cung cấp tất cả các dụng cụ và tài sản cần thiết để làm nông trại. Từ đó, anh bắt đầu cuộc sống mới của mình như một nông dân tại thế giới đó và tìm cách tăng trưởng và phát triển nông trại của mình."
Futoku no Guild,"['Anime', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Shounen', 'Harem']","['7.2', '130']",Hoàn thành,12,2022,"Câu chuyện kể về người thợ săn lành nghề Kikuru Madan, người đã quyết định nghỉ hưu vì sợ lãng phí tuổi trẻ của mình. Một ngày nọ, nhân viên của hiệp hội đã gợi ý rằng anh ta nên thực hiện một nhiệm vụ cùng nữ võ sĩ tên là Hitamu Kyan. Tuy nhiên, cô ấy liên tục bị đánh bởi quái vật này đến quái vật khác."
